"","order","participant","group","age","gender","condition","version","demoOrder","firstSet","test","firstPicture","answer","choice","p1","p2","p3","p4","p5","p6","acc_p1","acc_p2","acc_p3","acc_p4","acc_p5","acc_p6","acc_1","acc_2","acc_3","acc_4","acc_5","acc_6","ave_acc","ave_PTS","ave_IG"
"62",62,"EI_RPP_08SB","adults",19,"F","report","new","['Y', 'G', 'R']","B","(4, 6, 2, 5, 3, 1)","[1, 2, 1, 1, 1, 1]","('Y', 'R', 'R', 'G', 'Y', 'G')","('Y', 'R', 'R', 'G', 'Y', 'G')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"63",63,"EI_RPP_10CB","adults",24,"M","report","new","['Y', 'G', 'R']","B","(6, 2, 4, 5, 1, 3)","[1, 2, 2, 2, 1, 1]","('R', 'R', 'Y', 'G', 'G', 'Y')","('G', 'Y', 'Y', 'G', 'G', 'Y')",2,1,1,1,2,2,1,0,1,1,1,0,0,0,1,1,1,1,0.666666667,0.833333333333333,0.666666666666667
"64",64,"EI_RPP_12AF","adults",19,"F","report","new","['Y', 'G', 'R']","A","(3, 1, 5, 6, 4, 2)","[1, 1, 2, 2, 2, 2]","('Y', 'G', 'G', 'R', 'Y', 'R')","('Y', 'G', 'G', 'R', 'Y', 'R')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"65",65,"EI_RPP_14JMO","adults",20,"M","report","new","['Y', 'G', 'R']","B","(6, 4, 2, 1, 3, 5)","[2, 1, 2, 2, 1, 1]","('R', 'Y', 'R', 'G', 'Y', 'G')","('R', 'Y', 'Y', 'G', 'Y', 'G')",2,1,1,1,2,3,1,0,1,1,1,1,1,1,0,1,1,1,0.833333333,0.75,0.833333333333333
"66",66,"EI_RPP_16AL","adults",20,"F","report","new","['R', 'G', 'Y']","A","(1, 3, 5, 2, 4, 6)","[2, 1, 2, 1, 1, 2]","('G', 'Y', 'G', 'R', 'Y', 'R')","('G', 'Y', 'G', 'R', 'Y', 'R')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"67",67,"EI_RPP_18CL","adults",31,"M","report","new","['Y', 'R', 'G']","B","(2, 6, 4, 3, 5, 1)","[1, 2, 1, 1, 2, 2]","('R', 'R', 'Y', 'Y', 'G', 'G')","('R', 'R', 'Y', 'Y', 'G', 'G')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"68",68,"EI_RPP_20KZ","adults",21,"F","report","new","['Y', 'G', 'R']","A","(1, 3, 5, 6, 2, 4)","[2, 2, 2, 1, 2, 2]","('G', 'Y', 'G', 'R', 'R', 'Y')","('G', 'Y', 'G', 'R', 'R', 'Y')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"69",69,"EI_RPP_22HL","adults",20,"F","report","new","['R', 'Y', 'G']","A","(3, 5, 1, 2, 6, 4)","[2, 2, 2, 2, 1, 1]","('Y', 'G', 'G', 'R', 'R', 'Y')","('Y', 'G', 'G', 'R', 'R', 'Y')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"70",70,"EI_RPP_23CB","adults",20,"F","report","new","['Y', 'R', 'G']","A","(3, 5, 1, 6, 4, 2)","[2, 1, 1, 2, 2, 2]","('Y', 'G', 'G', 'R', 'Y', 'R')","('Y', 'G', 'G', 'R', 'Y', 'R')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"71",71,"EI_RPP_25CL","adults",20,"F","report","new","['R', 'G', 'Y']","B","(2, 6, 4, 5, 3, 1)","[2, 2, 2, 1, 2, 2]","('R', 'R', 'Y', 'G', 'Y', 'G')","('R', 'R', 'Y', 'G', 'Y', 'G')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"72",72,"EI_RPP_27LS","adults",24,"F","report","new","['R', 'G', 'Y']","B","(4, 6, 2, 1, 5, 3)","[1, 2, 2, 2, 2, 1]","('Y', 'R', 'R', 'G', 'G', 'Y')","('Y', 'R', 'Y', 'Y', 'G', 'Y')",1,1,1,1,2,3,1,0,1,1,1,1,1,1,0,1,1,1,0.833333333,0.833333333333333,0.666666666666667
"73",73,"EI_RPP_29DP","adults",18,"F","report","new","['Y', 'G', 'R']","B","(6, 2, 4, 1, 3, 5)","[1, 2, 1, 1, 1, 1]","('R', 'R', 'Y', 'G', 'Y', 'G')","('R', 'Y', 'Y', 'G', 'Y', 'G')",2,1,1,1,2,3,1,0,1,1,1,1,1,0,1,1,1,1,0.833333333,0.75,0.833333333333333
"74",74,"EI_RPP_31EB","adults",20,"F","report","new","['Y', 'G', 'R']","A","(5, 1, 3, 6, 2, 4)","[1, 1, 2, 1, 2, 2]","('G', 'G', 'Y', 'R', 'R', 'Y')","('G', 'G', 'Y', 'R', 'R', 'Y')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"75",75,"EI_RPP_33XW","adults",18,"F","report","new","['G', 'Y', 'R']","B","(2, 6, 4, 3, 1, 5)","[1, 1, 2, 2, 1, 1]","('R', 'R', 'Y', 'Y', 'G', 'G')","('R', 'R', 'Y', 'Y', 'G', 'G')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"76",76,"EI_RPP_35AG","adults",21,"F","report","new","['Y', 'R', 'G']","B","(6, 4, 2, 1, 3, 5)","[1, 1, 2, 1, 1, 2]","('R', 'Y', 'R', 'G', 'Y', 'G')","('R', 'Y', 'R', 'G', 'Y', 'G')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"77",77,"EI_RPP_37TP","adults",19,"F","report","new","['Y', 'G', 'R']","B","(4, 6, 2, 1, 5, 3)","[2, 2, 2, 2, 1, 1]","('Y', 'R', 'R', 'G', 'G', 'Y')","('Y', 'R', 'R', 'G', 'G', 'Y')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"78",78,"EI_RPP_39JW","adults",19,"F","report","new","['Y', 'G', 'R']","A","(3, 1, 5, 6, 2, 4)","[2, 2, 2, 2, 1, 1]","('Y', 'G', 'G', 'R', 'R', 'Y')","('Y', 'G', 'G', 'R', 'R', 'Y')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"79",79,"EI_RPP_41MG","adults",21,"F","report","new","['G', 'Y', 'R']","B","(2, 6, 4, 1, 3, 5)","[2, 2, 1, 1, 1, 2]","('R', 'R', 'Y', 'G', 'Y', 'G')","('R', 'R', 'Y', 'G', 'Y', 'G')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"80",80,"EI_RPP_43QY","adults",19,"F","report","new","['R', 'Y', 'G']","B","(6, 4, 2, 3, 5, 1)","[2, 1, 2, 1, 1, 1]","('R', 'Y', 'R', 'Y', 'G', 'G')","('R', 'Y', 'R', 'Y', 'G', 'G')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"81",81,"EI_RPP_67JIJ","adults",21,"F","report","new","['Y', 'R', 'G']","A","(3, 1, 5, 4, 6, 2)","[1, 2, 1, 1, 1, 1]","('Y', 'G', 'G', 'Y', 'R', 'R')","('Y', 'G', 'G', 'Y', 'R', 'R')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"82",82,"EI_RPP_70BK","adults",21,"F","report","new","['Y', 'G', 'R']","A","(1, 3, 5, 2, 6, 4)","[2, 1, 1, 2, 1, 2]","('G', 'Y', 'G', 'R', 'R', 'Y')","('G', 'Y', 'G', 'R', 'R', 'Y')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"83",83,"EI_RPP_73MA","adults",20,"M","report","new","['Y', 'R', 'G']","A","(5, 3, 1, 4, 6, 2)","[2, 1, 1, 2, 1, 1]","('G', 'Y', 'G', 'Y', 'R', 'R')","('G', 'Y', 'G', 'Y', 'R', 'R')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"84",84,"EI_RPP_76DA","adults",20,"M","report","new","['R', 'Y', 'G']","B","(2, 6, 4, 1, 5, 3)","[1, 1, 1, 2, 2, 2]","('R', 'R', 'Y', 'G', 'G', 'Y')","('Y', 'R', 'Y', 'G', 'G', 'Y')",2,1,1,1,2,3,1,0,1,1,1,1,0,1,1,1,1,1,0.833333333,0.75,0.833333333333333
"85",85,"EI_RPP_80RM","adults",18,"F","report","new","['G', 'R', 'Y']","B","(6, 2, 4, 3, 1, 5)","[2, 1, 2, 1, 2, 1]","('R', 'R', 'Y', 'Y', 'G', 'G')","('R', 'Y', 'Y', 'Y', 'G', 'G')",2,1,1,1,2,3,1,1,1,1,0,1,1,1,1,1,1,0,0.833333333,0.75,0.833333333333333
"86",86,"EI_RPP_83JA","adults",19,"M","report","new","['R', 'Y', 'G']","A","(5, 1, 3, 6, 4, 2)","[1, 2, 2, 2, 2, 2]","('G', 'G', 'Y', 'R', 'Y', 'R')","('G', 'G', 'Y', 'R', 'Y', 'R')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"87",87,"EI_RPP_86RK","adults",22,"M","report","new","['G', 'R', 'Y']","B","(4, 2, 6, 5, 1, 3)","[1, 1, 1, 1, 2, 2]","('Y', 'R', 'R', 'G', 'G', 'Y')","('Y', 'R', 'R', 'G', 'G', 'Y')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"88",88,"EI_RPP_89PB","adults",18,"M","report","new","['Y', 'G', 'R']","A","(5, 3, 1, 6, 2, 4)","[1, 2, 1, 1, 2, 1]","('G', 'Y', 'G', 'R', 'R', 'Y')","('G', 'Y', 'G', 'R', 'R', 'Y')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"89",89,"EI37","children",74.9,"F","baseline","random_prac","['R', 'G', 'Y']",NA,"(5, 2, 4, 6, 3, 1)","[2, 1, 2, 1, 1, 2]","('G', 'R', 'Y', 'R', 'Y', 'G')","('G', 'R', 'Y', 'R', 'Y', 'G')",2,3,1,1,2,3,0,1,0,1,1,0,1,1,0,0,0,1,0.5,0.666666666666667,1
"90",90,"EI38","children",68.3,"M","baseline","random_prac","['R', 'Y', 'G']",NA,"(4, 5, 1, 6, 3, 2)","[1, 2, 2, 1, 1, 1]","('Y', 'G', 'G', 'R', 'Y', 'R')","('Y', 'G', 'Y', 'G', 'G', 'Y')",1,1,2,1,2,2,0,1,0,1,1,1,1,0,1,0,1,0,0.5,0.916666666666667,0.333333333333333
"91",91,"EI39","children",61.8,"F","baseline","random_prac","['G', 'R', 'Y']",NA,"(6, 3, 2, 1, 5, 4)","[2, 2, 1, 1, 2, 1]","('R', 'Y', 'R', 'G', 'G', 'Y')","('G', 'Y', 'G', 'R', 'Y', 'G')",3,2,1,2,1,2,1,1,0,1,0,0,0,1,1,0,1,1,0.666666667,0.333333333333333,0.166666666666667
"92",92,"EI40","children",68.3,"F","baseline","random_prac","['G', 'R', 'Y']",NA,"(6, 4, 5, 1, 3, 2)","[2, 1, 2, 1, 1, 2]","('R', 'Y', 'G', 'G', 'Y', 'R')","('G', 'R', 'G', 'Y', 'G', 'G')",1,2,2,3,2,2,1,0,1,1,1,1,1,1,1,1,0,1,0.833333333,0.75,0.166666666666667
"93",93,"EI41","children",68.3,"F","baseline","random_prac","['R', 'Y', 'G']",NA,"(4, 3, 6, 2, 1, 5)","[2, 2, 2, 2, 1, 1]","('Y', 'Y', 'R', 'R', 'G', 'G')","('R', 'G', 'Y', 'G', 'Y', 'R')",1,2,2,3,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0.166666667,0.666666666666667,0
"94",94,"EI42","children",68.5,"F","baseline","random_prac","['Y', 'G', 'R']",NA,"(2, 3, 4, 6, 1, 5)","[2, 2, 1, 2, 1, 2]","('R', 'Y', 'Y', 'R', 'G', 'G')","('Y', 'G', 'R', 'Y', 'R', 'G')",3,1,2,3,2,1,1,1,1,0,0,1,1,0,1,1,0,1,0.666666667,0.583333333333333,0.166666666666667
"95",95,"EI43","children",68.5,"F","baseline","random_prac","['R', 'Y', 'G']",NA,"(4, 5, 1, 6, 2, 3)","[2, 1, 1, 1, 1, 1]","('Y', 'G', 'G', 'R', 'R', 'Y')","('Y', 'R', 'Y', 'G', 'Y', 'R')",1,1,3,1,3,2,1,1,0,1,1,1,1,1,1,1,0,1,0.833333333,0.833333333333333,0.166666666666667
"96",96,"EI44","children",90,"M","baseline","random_prac","['R', 'G', 'Y']",NA,"(6, 3, 5, 2, 1, 4)","[2, 1, 1, 2, 2, 2]","('R', 'Y', 'G', 'R', 'G', 'Y')","('R', 'Y', 'G', 'R', 'G', 'Y')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"97",97,"EI45","children",93.5,"F","baseline","random_prac","['G', 'R', 'Y']",NA,"(1, 2, 3, 4, 6, 5)","[1, 1, 2, 2, 2, 1]","('G', 'R', 'Y', 'Y', 'R', 'G')","('Y', 'Y', 'G', 'R', 'G', 'R')",1,1,2,3,3,2,0,0,0,1,1,1,0,0,1,1,1,0,0.5,1,0
"98",98,"EI46","children",67,"M","baseline","random_prac","['G', 'Y', 'R']",NA,"(6, 2, 5, 3, 4, 1)","[2, 1, 1, 2, 1, 1]","('R', 'R', 'G', 'Y', 'Y', 'G')","('R', 'R', 'R', 'Y', 'Y', 'Y')",1,3,1,1,3,3,1,0,0,0,0,0,0,0,0,0,1,1,0.333333333,0.833333333333333,0.666666666666667
"99",99,"EI47","children",86,"F","baseline","random_prac","['R', 'Y', 'G']",NA,"(3, 1, 4, 5, 2, 6)","[2, 1, 1, 1, 1, 1]","('Y', 'G', 'Y', 'G', 'R', 'R')","('G', 'G', 'Y', 'R', 'Y', 'G')",2,1,2,1,3,2,0,0,0,0,1,1,0,0,1,0,1,1,0.5,0.916666666666667,0.333333333333333
"100",100,"EI48","children",94,"F","baseline","random_prac","['Y', 'R', 'G']",NA,"(5, 1, 4, 3, 6, 2)","[1, 1, 1, 2, 2, 2]","('G', 'G', 'Y', 'Y', 'R', 'R')","('R', 'Y', 'Y', 'G', 'R', 'R')",1,3,2,1,3,3,0,0,1,1,0,0,0,1,1,0,0,0,0.333333333,0.833333333333333,0.5
"101",101,"EI49","children",74,"M","baseline","random_prac","['G', 'Y', 'R']",NA,"(5, 2, 4, 3, 6, 1)","[1, 2, 2, 1, 2, 1]","('G', 'R', 'Y', 'Y', 'R', 'G')","('Y', 'G', 'R', 'Y', 'Y', 'G')",2,2,1,3,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0.166666667,0.416666666666667,0.333333333333333
"102",102,"EI50","children",73.9,"M","baseline","random_prac","['Y', 'R', 'G']",NA,"(4, 6, 1, 5, 3, 2)","[2, 1, 1, 2, 2, 2]","('Y', 'R', 'G', 'G', 'Y', 'R')","('Y', 'G', 'Y', 'R', 'G', 'Y')",1,1,2,1,3,2,1,0,1,0,1,0,0,1,1,1,0,0,0.5,1,0.166666666666667
"103",103,"EI51","children",73.8,"F","baseline","random_prac","['Y', 'R', 'G']",NA,"(3, 2, 1, 4, 6, 5)","[2, 1, 2, 1, 2, 2]","('Y', 'R', 'G', 'Y', 'R', 'G')","('Y', 'R', 'R', 'Y', 'R', 'G')",3,3,1,1,2,3,1,1,1,1,0,1,1,1,1,1,0,0,0.666666667,0.583333333333333,0.833333333333333
"104",104,"EI53","children",74,"M","baseline","random_prac","['Y', 'G', 'R']",NA,"(5, 6, 3, 1, 2, 4)","[2, 1, 1, 2, 1, 2]","('G', 'R', 'Y', 'G', 'R', 'Y')","('G', 'G', 'Y', 'Y', 'Y', 'R')",1,1,1,3,2,2,1,1,0,1,1,1,1,0,1,1,1,1,0.833333333,0.916666666666667,0.333333333333333
"105",105,"EI54","children",70.4,"F","baseline","random_prac","['R', 'G', 'Y']",NA,"(3, 5, 1, 2, 4, 6)","[2, 2, 2, 2, 2, 2]","('Y', 'G', 'G', 'R', 'Y', 'R')","('G', 'R', 'G', 'Y', 'R', 'G')",2,1,2,3,3,2,1,0,0,0,0,0,0,1,0,0,0,1,0.333333333,0.916666666666667,0.166666666666667
"106",106,"EI55","children",91,"M","baseline","random_prac","['R', 'G', 'Y']",NA,"(4, 1, 2, 6, 3, 5)","[1, 2, 2, 1, 2, 1]","('Y', 'G', 'R', 'R', 'Y', 'G')","('Y', 'G', 'R', 'R', 'Y', 'G')",2,3,1,1,2,3,1,1,0,1,0,1,1,1,1,0,0,1,0.666666667,0.666666666666667,1
"107",107,"EI56","children",90.6,"M","baseline","random_prac","['R', 'Y', 'G']",NA,"(3, 4, 5, 6, 2, 1)","[2, 2, 1, 1, 1, 1]","('Y', 'Y', 'G', 'R', 'R', 'G')","('Y', 'Y', 'R', 'G', 'Y', 'G')",2,1,1,1,3,2,1,0,1,1,1,0,1,1,0,0,1,1,0.666666667,0.916666666666667,0.5
"108",108,"EI57","children",90.6,"F","baseline","random_prac","['G', 'Y', 'R']",NA,"(4, 6, 2, 1, 5, 3)","[2, 1, 2, 2, 1, 1]","('Y', 'R', 'R', 'G', 'G', 'Y')","('R', 'G', 'Y', 'Y', 'R', 'G')",1,1,2,3,3,2,1,0,1,1,1,1,1,0,1,1,1,0,0.666666667,1,0
"109",109,"EI58","children",83.4,"F","baseline","random_prac","['Y', 'G', 'R']",NA,"(6, 2, 5, 1, 4, 3)","[2, 1, 2, 2, 1, 2]","('R', 'R', 'G', 'G', 'Y', 'Y')","('G', 'R', 'G', 'G', 'R', 'G')",2,3,2,3,2,2,1,1,0,0,1,1,1,1,1,0,0,0,0.5,0.75,0.5
"110",110,"EI59","children",74.5,"M","baseline","random_prac","['R', 'G', 'Y']",NA,"(5, 4, 1, 2, 6, 3)","[2, 2, 1, 1, 1, 2]","('G', 'Y', 'G', 'R', 'R', 'Y')","('Y', 'Y', 'Y', 'G', 'G', 'G')",1,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0.166666666666667
"111",111,"EI60","children",72.5,"M","baseline","random_prac","['G', 'Y', 'R']",NA,"(4, 5, 1, 6, 2, 3)","[2, 2, 1, 2, 2, 2]","('Y', 'G', 'G', 'R', 'R', 'Y')","('R', 'G', 'Y', 'R', 'Y', 'Y')",1,1,1,3,2,3,1,1,0,1,1,0,1,1,0,1,0,0,0.5,0.833333333333333,0.5
"112",112,"EI61","children",87.5,"M","baseline","random_prac","['G', 'Y', 'R']",NA,"(2, 6, 1, 3, 4, 5)","[1, 1, 1, 1, 2, 1]","('R', 'R', 'G', 'Y', 'Y', 'G')","('Y', 'G', 'Y', 'Y', 'R', 'R')",1,1,1,3,3,2,1,1,1,0,1,1,1,1,1,0,1,0,0.666666667,1,0.166666666666667
"113",113,"EI62","children",88.6,"F","baseline","random_prac","['G', 'Y', 'R']",NA,"(3, 1, 6, 4, 5, 2)","[1, 1, 1, 1, 2, 2]","('Y', 'G', 'R', 'Y', 'G', 'R')","('Y', 'Y', 'G', 'Y', 'R', 'G')",1,2,1,1,3,2,1,1,1,0,0,1,1,1,0,0,1,0,0.5,0.833333333333333,0.333333333333333
"114",114,"EI63","children",90.1,"F","baseline","random_prac","['G', 'R', 'Y']",NA,"(3, 4, 6, 5, 2, 1)","[2, 2, 2, 1, 1, 1]","('Y', 'Y', 'R', 'G', 'R', 'G')","('Y', 'Y', 'G', 'R', 'Y', 'Y')",1,1,1,1,3,2,0,0,1,1,1,0,1,0,1,0,0,1,0.5,1,0.333333333333333
"115",115,"EI65","children",79.4,"M","baseline","random_prac","['G', 'Y', 'R']",NA,"(4, 3, 1, 6, 5, 2)","[2, 2, 2, 2, 2, 1]","('Y', 'Y', 'G', 'R', 'G', 'R')","('G', 'R', 'Y', 'R', 'Y', 'Y')",1,1,3,2,1,3,0,1,1,1,0,0,1,0,0,0,1,0,0.333333333,0.416666666666667,0.166666666666667
"116",116,"EI66","children",74.4,"F","baseline","random_prac","['G', 'R', 'Y']",NA,"(3, 5, 4, 1, 2, 6)","[2, 2, 1, 1, 2, 1]","('Y', 'G', 'Y', 'G', 'R', 'R')","('R', 'Y', 'G', 'G', 'Y', 'R')",2,1,3,2,1,3,1,1,1,1,1,0,1,1,1,1,0,1,0.833333333,0.333333333333333,0.333333333333333
"117",117,"EI67","children",90.4,"M","baseline","random_prac","['R', 'Y', 'G']",NA,"(2, 5, 4, 1, 6, 3)","[2, 1, 2, 2, 1, 2]","('R', 'G', 'Y', 'G', 'R', 'Y')","('R', 'G', 'Y', 'G', 'R', 'Y')",2,3,1,1,2,3,0,1,0,1,1,0,1,1,0,0,0,0,0.333333333,0.666666666666667,1
"118",118,"EI68","children",91,"M","baseline","random_prac","['R', 'G', 'Y']",NA,"(1, 5, 4, 2, 6, 3)","[1, 2, 2, 2, 1, 1]","('G', 'G', 'Y', 'R', 'R', 'Y')","('G', 'G', 'G', 'G', 'R', 'Y')",2,2,1,2,2,3,1,0,1,1,1,0,1,1,0,0,1,1,0.666666667,0.416666666666667,0.666666666666667
"119",119,"EI69","children",90.7,"M","baseline","random_prac","['R', 'G', 'Y']",NA,"(6, 1, 5, 3, 4, 2)","[2, 1, 1, 2, 2, 2]","('R', 'G', 'G', 'Y', 'Y', 'R')","('R', 'Y', 'G', 'Y', 'Y', 'G')",1,2,1,1,2,3,1,1,1,1,0,1,1,0,1,1,1,0,0.666666667,0.666666666666667,0.666666666666667
"120",120,"EI70","children",72.6,"F","baseline","random_prac","['G', 'R', 'Y']",NA,"(3, 5, 4, 1, 2, 6)","[2, 2, 1, 1, 1, 1]","('Y', 'G', 'Y', 'G', 'R', 'R')","('G', 'Y', 'R', 'G', 'Y', 'R')",2,1,2,3,1,3,1,1,0,NA,0,0,0,NA,1,1,0,0,0.4,0.666666666666667,0.333333333333333
"121",121,"EI71","children",85.2,"M","baseline","random_prac","['R', 'Y', 'G']",NA,"(5, 1, 3, 6, 2, 4)","[1, 2, 2, 1, 1, 1]","('G', 'G', 'Y', 'R', 'R', 'Y')","('R', 'G', 'R', 'Y', 'G', 'Y')",2,2,3,1,3,1,0,0,0,1,0,0,0,0,0,0,1,1,0.333333333,0.416666666666667,0.333333333333333
"122",122,"EI72","children",82.8,"M","baseline","random_prac","['G', 'R', 'Y']",NA,"(2, 4, 3, 6, 1, 5)","[1, 1, 2, 1, 2, 1]","('R', 'Y', 'Y', 'R', 'G', 'G')","('G', 'R', 'Y', 'G', 'Y', 'R')",1,2,1,3,3,2,1,0,0,0,1,0,0,0,0,1,1,0,0.333333333,0.833333333333333,0.166666666666667
