"","order","participant","group","age","gender","condition","version","demoOrder","firstSet","test","firstPicture","answer","choice","p1","p2","p3","p4","p5","p6","acc_p1","acc_p2","acc_p3","acc_p4","acc_p5","acc_p6","acc_1","acc_2","acc_3","acc_4","acc_5","acc_6","ave_acc","ave_PTS","ave_IG"
"123",123,"EI73","children",75.7,"F","baseline","random_prac","['R', 'G', 'Y']",NA,"(6, 3, 2, 4, 1, 5)","[1, 2, 2, 1, 1, 1]","('R', 'Y', 'R', 'Y', 'G', 'G')","('G', 'G', 'Y', 'Y', 'Y', 'G')",1,1,2,1,2,2,1,1,0,0,0,0,0,1,0,1,0,1,0.5,0.916666666666667,0.333333333333333
"124",124,"EI74","children",94.8,"M","baseline","random_prac","['R', 'G', 'Y']",NA,"(3, 4, 2, 5, 1, 6)","[1, 2, 1, 2, 2, 2]","('Y', 'Y', 'R', 'G', 'G', 'R')","('Y', 'Y', 'Y', 'R', 'Y', 'G')",1,1,1,1,3,2,0,1,1,1,1,0,1,1,1,0,0,0,0.5,1,0.333333333333333
"125",125,"EI75","children",81,"M","baseline","random_prac","['R', 'G', 'Y']",NA,"(2, 4, 1, 5, 6, 3)","[2, 2, 1, 1, 2, 2]","('R', 'Y', 'G', 'G', 'R', 'Y')","('Y', 'Y', 'Y', 'R', 'G', 'Y')",1,1,1,1,3,2,1,0,0,0,0,0,0,1,0,0,0,1,0.333333333,1,0.333333333333333
"126",126,"EI76","children",65.1,"M","baseline","random_prac","['Y', 'G', 'R']",NA,"(3, 2, 1, 4, 6, 5)","[1, 2, 2, 2, 2, 2]","('Y', 'R', 'G', 'Y', 'R', 'G')","('R', 'G', 'Y', 'G', 'R', 'Y')",1,2,3,2,1,3,1,0,0,1,1,1,0,1,1,1,1,1,0.833333333,0.25,0.166666666666667
"127",127,"EI77","children",84.5,"M","baseline","random_prac","['Y', 'R', 'G']",NA,"(4, 2, 6, 5, 3, 1)","[1, 2, 2, 1, 2, 1]","('Y', 'R', 'R', 'G', 'Y', 'G')","('Y', 'Y', 'Y', 'G', 'G', 'G')",2,1,2,1,2,1,1,1,1,1,1,0,1,0,1,1,1,1,0.833333333,0.666666666666667,0.5
"128",128,"EI2.2_9LL","children",62.1,"F","explanation","new","['Y', 'G', 'R']","B","(4, 2, 6, 5, 3, 1)","[2, 1, 1, 1, 2, 1]","('Y', 'R', 'R', 'G', 'Y', 'G')","('Y', 'R', 'G', 'Y', 'R', 'G')",2,3,3,1,1,2,1,1,0,1,0,1,1,1,1,0,0,1,0.666666667,0.5,0.5
"129",129,"EI2.2_11OC","children",75.17,"M","explanation","new","['Y', 'R', 'G']","B","(6, 4, 2, 5, 1, 3)","[1, 2, 1, 2, 2, 1]","('R', 'Y', 'R', 'G', 'G', 'Y')","('R', 'Y', 'Y', 'G', 'Y', 'Y')",1,1,1,1,2,3,0,0,1,1,1,1,1,1,0,1,0,1,0.666666667,0.833333333333333,0.666666666666667
"130",130,"EI2.2_12RSR","children",73.9,"M","explanation","new","['Y', 'G', 'R']","B","(4, 2, 6, 1, 3, 5)","[1, 2, 1, 2, 1, 1]","('Y', 'R', 'R', 'G', 'Y', 'G')","('Y', 'Y', 'Y', 'G', 'Y', 'G')",2,1,1,1,2,1,1,0,1,1,1,1,1,0,1,1,1,1,0.833333333,0.666666666666667,0.666666666666667
"131",131,"EI2.2_13VB","children",76.1,"F","explanation","new","['R', 'G', 'Y']","B","(4, 6, 2, 1, 3, 5)","[1, 1, 1, 1, 2, 2]","('Y', 'R', 'R', 'G', 'Y', 'G')","('R', 'G', 'Y', 'Y', 'G', 'R')",1,1,2,3,3,2,0,1,0,0,0,0,0,0,1,0,0,0,0.166666667,1,0
"132",132,"EI2.2_14SS","children",63.2,"F","explanation","new","['Y', 'G', 'R']","B","(2, 4, 6, 3, 5, 1)","[2, 2, 2, 2, 2, 2]","('R', 'Y', 'R', 'Y', 'G', 'G')","('R', 'G', 'G', 'Y', 'R', 'G')",2,3,1,2,3,2,1,1,0,0,0,1,1,0,1,0,0,1,0.5,0.666666666666667,0.5
"133",133,"EI2.2_15EGK","children",66.6,"M","explanation","new","['G', 'Y', 'R']","A","(1, 5, 3, 2, 4, 6)","[2, 2, 2, 1, 2, 2]","('G', 'G', 'Y', 'R', 'Y', 'R')","('R', 'Y', 'G', 'R', 'G', 'Y')",3,3,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0.166666667,0.25,0.166666666666667
"134",134,"EI2.2_16AC","children",61.3,"M","explanation","new","['Y', 'G', 'R']","B","(4, 6, 2, 5, 3, 1)","[2, 2, 2, 2, 1, 1]","('Y', 'R', 'R', 'G', 'Y', 'G')","('G', 'R', 'Y', 'R', 'G', 'Y')",1,1,2,2,3,3,1,1,1,1,0,1,1,1,1,0,1,1,0.833333333,0.75,0.166666666666667
"135",135,"EI2.2_17AB","children",81.5,"M","explanation","new","['R', 'G', 'Y']","B","(6, 2, 4, 1, 5, 3)","[1, 2, 2, 1, 1, 2]","('R', 'R', 'Y', 'G', 'G', 'Y')","('R', 'Y', 'R', 'G', 'G', 'Y')",2,1,1,3,2,3,1,0,1,0,1,1,1,0,0,1,1,1,0.666666667,0.75,0.666666666666667
"136",136,"EI2.2_18CC","children",89.5,"M","explanation","new","['R', 'G', 'Y']","B","(4, 6, 2, 1, 3, 5)","[2, 1, 1, 2, 2, 2]","('Y', 'R', 'R', 'G', 'Y', 'G')","('R', 'Y', 'G', 'R', 'Y', 'G')",3,2,1,3,2,1,1,0,1,0,0,0,0,0,0,1,1,0,0.333333333,0.416666666666667,0.333333333333333
"137",137,"EI2.2_19AG","children",76,"F","explanation","new","['G', 'Y', 'R']","B","(6, 2, 4, 5, 1, 3)","[2, 1, 2, 2, 2, 2]","('R', 'R', 'Y', 'G', 'G', 'Y')","('G', 'Y', 'R', 'Y', 'G', 'R')",2,1,3,3,1,2,0,1,1,0,0,0,0,1,0,0,0,1,0.333333333,0.583333333333333,0.166666666666667
"138",138,"EI2.2_20IS","children",78.3,"F","explanation","new","['R', 'G', 'Y']","B","(4, 2, 6, 3, 1, 5)","[2, 2, 1, 1, 2, 1]","('Y', 'R', 'Y', 'G', 'Y', 'R')","('G', 'Y', 'R', 'Y', 'G', 'R')",2,1,1,2,3,3,1,0,1,0,1,0,0,0,0,1,1,1,0.5,0.666666666666667,0.5
"139",139,"EI2.2_21JL","children",82.4,"M","explanation","new","['G', 'R', 'Y']","B","(4, 6, 2, 5, 3, 1)","[1, 2, 1, 2, 2, 2]","('Y', 'R', 'R', 'G', 'Y', 'G')","('Y', 'R', 'R', 'G', 'Y', 'G')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"140",140,"EI2.2_22SD","children",85.9,"M","explanation","new","['R', 'Y', 'G']","B","(2, 4, 6, 1, 5, 3)","[1, 1, 2, 1, 1, 1]","('R', 'Y', 'R', 'G', 'G', 'Y')","('R', 'Y', 'R', 'G', 'G', 'Y')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"141",141,"EI2.2_23ES","children",78.5,"F","explanation","new","['R', 'Y', 'G']","A","(5, 3, 1, 4, 2, 6)","[2, 2, 2, 2, 1, 1]","('G', 'Y', 'G', 'Y', 'R', 'R')","('G', 'Y', 'G', 'Y', 'R', 'R')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"142",142,"EI2.2_24MB","children",78.1,"F","explanation","new","['Y', 'R', 'G']","A","(3, 5, 1, 6, 2, 4)","[1, 2, 1, 1, 1, 1]","('Y', 'G', 'G', 'R', 'R', 'Y')","('Y', 'R', 'Y', 'G', 'Y', 'Y')",1,1,1,1,3,2,1,0,1,1,0,1,1,0,1,1,0,1,0.666666667,1,0.333333333333333
"143",143,"EI2.2_25AN","children",76.7,"M","explanation","new","['R', 'G', 'Y']","B","(2, 4, 6, 1, 3, 5)","[1, 1, 1, 1, 2, 2]","('R', 'Y', 'R', 'G', 'Y', 'G')","('Y', 'G', 'G', 'Y', 'Y', 'G')",1,1,1,2,2,2,0,0,1,1,1,0,0,1,0,0,1,1,0.5,0.75,0.333333333333333
"144",144,"EI2.2_26LZ","children",73.2,"M","explanation","new","['R', 'Y', 'G']","B","(2, 6, 4, 3, 1, 5)","[2, 1, 1, 2, 1, 2]","('R', 'R', 'Y', 'Y', 'G', 'G')","('G', 'R', 'R', 'G', 'Y', 'G')",1,2,2,3,2,3,0,0,0,0,1,0,0,0,0,0,0,1,0.166666667,0.666666666666667,0.333333333333333
"145",145,"EI2.2_27BS","children",73.3,"M","explanation","new","['Y', 'G', 'R']","B","(4, 2, 6, 5, 1, 3)","[2, 2, 1, 2, 2, 2]","('Y', 'R', 'R', 'G', 'G', 'Y')","('G', 'Y', 'G', 'R', 'Y', 'Y')",1,1,1,2,3,2,1,0,1,1,0,0,1,0,0,0,1,1,0.5,0.833333333333333,0.166666666666667
"146",146,"EI2.2_28SK","children",88.9,"M","explanation","new","['Y', 'G', 'R']","A","(3, 1, 5, 6, 2, 4)","[1, 1, 2, 1, 2, 1]","('Y', 'G', 'G', 'R', 'R', 'Y')","('G', 'Y', 'G', 'Y', 'R', 'R')",1,3,2,3,2,1,1,1,1,1,1,0,1,1,1,0,1,1,0.833333333,0.666666666666667,0.333333333333333
"147",147,"EI2.2_29BF","children",87,"M","explanation","new","['Y', 'R', 'G']","B","(4, 2, 6, 3, 5, 1)","[2, 1, 1, 2, 1, 2]","('Y', 'R', 'R', 'Y', 'G', 'G')","('Y', 'Y', 'G', 'Y', 'R', 'Y')",1,1,1,1,3,2,0,0,1,1,1,1,1,0,1,1,1,0,0.666666667,1,0.333333333333333
"148",148,"EI2.2_30NG","children",79.3,"M","explanation","new","['G', 'Y', 'R']","A","(5, 3, 1, 2, 4, 6)","[2, 2, 2, 2, 1, 1]","('G', 'Y', 'G', 'R', 'Y', 'R')","('R', 'G', 'R', 'Y', 'G', 'Y')",3,1,2,2,3,1,1,1,0,1,1,0,1,0,1,1,1,0,0.666666667,0.5,0
"149",149,"EI2.2_31LW","children",79.5,"M","explanation","new","['R', 'Y', 'G']","A","(5, 1, 3, 6, 2, 4)","[1, 1, 1, 1, 2, 2]","('G', 'G', 'Y', 'R', 'R', 'Y')","('G', 'Y', 'G', 'R', 'Y', 'R')",1,1,2,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.833333333333333,0.333333333333333
"150",150,"EI2_1SO","children",94.9,"M","explanation","old","['R', 'G', 'Y']",NA,"(1, 6, 4, 2, 5, 3)","[2, 1, 2, 1, 1, 2]","('G', 'R', 'Y', 'R', 'G', 'Y')","('G', 'R', 'Y', 'Y', 'G', 'Y')",2,1,1,1,2,3,1,0,1,1,1,1,1,1,1,0,1,1,0.833333333,0.75,0.833333333333333
"151",151,"EI2_3AH","children",95,"F","explanation","old","['R', 'G', 'Y']",NA,"(6, 3, 4, 1, 5, 2)","[2, 1, 2, 2, 1, 1]","('R', 'Y', 'Y', 'G', 'G', 'R')","('G', 'Y', 'R', 'Y', 'R', 'Y')",1,1,1,3,3,2,1,0,1,1,0,1,1,1,1,1,0,0,0.666666667,1,0.166666666666667
"152",152,"EI2_5SD","children",101.5,"F","explanation","old","['R', 'Y', 'G']",NA,"(4, 5, 2, 1, 3, 6)","[2, 2, 2, 2, 2, 1]","('Y', 'G', 'R', 'G', 'Y', 'R')","('R', 'R', 'Y', 'Y', 'Y', 'G')",1,1,1,3,3,2,0,1,1,0,1,1,0,1,1,0,1,1,0.666666667,1,0.166666666666667
"153",153,"EI2_7EM","children",95,"M","explanation","old","['G', 'R', 'Y']",NA,"(5, 4, 2, 1, 6, 3)","[2, 2, 2, 1, 2, 2]","('G', 'Y', 'R', 'G', 'R', 'Y')","('R', 'R', 'Y', 'Y', 'G', 'G')",1,1,2,3,3,2,1,0,1,1,1,1,1,1,0,1,1,1,0.833333333,1,0
"154",154,"EI2_9NS","children",76.4,"F","explanation","old","['G', 'Y', 'R']",NA,"(1, 6, 3, 4, 2, 5)","[1, 1, 2, 1, 2, 2]","('G', 'R', 'Y', 'Y', 'R', 'G')","('R', 'Y', 'G', 'R', 'R', 'Y')",3,3,2,3,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0.5,0.416666666666667,0.166666666666667
"155",155,"EI2_11AY","children",79.8,"M","explanation","old","['R', 'Y', 'G']",NA,"(3, 2, 6, 1, 4, 5)","[1, 2, 2, 1, 1, 2]","('Y', 'R', 'R', 'G', 'Y', 'G')","('G', 'Y', 'R', 'Y', 'Y', 'R')",1,1,2,1,3,3,1,0,0,1,0,1,0,0,1,1,1,0,0.5,0.916666666666667,0.333333333333333
"156",156,"EI2_14FN","children",82.1,"M","explanation","old","['R', 'G', 'Y']",NA,"(1, 4, 6, 3, 2, 5)","[2, 2, 2, 2, 2, 2]","('G', 'Y', 'R', 'Y', 'R', 'G')","('Y', 'R', 'G', 'G', 'Y', 'R')",1,1,2,3,3,2,0,0,1,1,1,0,0,1,0,1,0,1,0.5,1,0
"157",157,"EI2_15KG","children",92.5,NA,"explanation","old","['G', 'Y', 'R']",NA,"(4, 5, 3, 2, 1, 6)","[1, 2, 2, 2, 2, 2]","('Y', 'G', 'Y', 'R', 'G', 'R')","('Y', 'G', 'G', 'Y', 'Y', 'R')",1,1,2,1,2,3,1,1,0,1,1,1,1,1,0,1,1,1,0.833333333,0.833333333333333,0.5
"158",158,"EI2_17EO","children",73.7,"M","explanation","old","['Y', 'R', 'G']",NA,"(3, 5, 2, 1, 6, 4)","[1, 1, 1, 1, 2, 2]","('Y', 'G', 'R', 'G', 'R', 'Y')","('G', 'G', 'Y', 'Y', 'G', 'Y')",1,1,2,1,2,2,1,0,0,1,0,1,0,0,0,1,1,1,0.5,0.916666666666667,0.333333333333333
"159",159,"EC2_19CB","children",87.9,"M","explanation","old","['Y', 'R', 'G']",NA,"(3, 5, 6, 1, 4, 2)","[2, 1, 2, 1, 1, 2]","('Y', 'G', 'R', 'G', 'Y', 'R')","('Y', 'G', 'R', 'Y', 'Y', 'R')",1,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.833333333333333
"160",160,"EI2_21ZL","children",87.2,"M","explanation","old","['Y', 'R', 'G']",NA,"(5, 3, 1, 2, 4, 6)","[1, 2, 2, 1, 1, 1]","('G', 'Y', 'G', 'R', 'Y', 'R')","('R', 'G', 'Y', 'R', 'Y', 'G')",1,3,2,1,3,2,1,1,1,1,1,0,1,1,1,1,1,0,0.833333333,0.916666666666667,0.333333333333333
"161",161,"EI2_23JT","children",87.9,"M","explanation","old","['G', 'Y', 'R']",NA,"(5, 2, 6, 1, 4, 3)","[1, 2, 1, 1, 2, 2]","('G', 'R', 'R', 'G', 'Y', 'Y')","('G', 'R', 'R', 'G', 'Y', 'Y')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"162",162,"EI2_25KT","children",74,"M","explanation","old","['G', 'R', 'Y']",NA,"(4, 3, 2, 1, 5, 6)","[1, 2, 2, 1, 1, 2]","('Y', 'Y', 'R', 'G', 'G', 'R')","('R', 'G', 'Y', 'Y', 'Y', 'Y')",1,1,2,3,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0.166666667,0.666666666666667,0
"163",163,"EI2_27MM","children",76.5,"M","explanation","old","['G', 'Y', 'R']",NA,"(1, 5, 6, 3, 2, 4)","[1, 2, 2, 2, 1, 2]","('G', 'G', 'R', 'Y', 'R', 'Y')","('G', 'G', 'G', 'Y', 'Y', 'Y')",2,1,1,1,2,2,1,1,1,1,1,0,1,1,0,1,1,1,0.833333333,0.833333333333333,0.666666666666667
"164",164,"EI2_29JL","children",84.7,"M","explanation","old","['G', 'Y', 'R']",NA,"(2, 6, 5, 4, 3, 1)","[2, 1, 1, 1, 1, 2]","('R', 'R', 'G', 'Y', 'Y', 'G')","('Y', 'Y', 'R', 'Y', 'Y', 'Y')",1,1,1,1,3,1,0,1,1,1,0,1,1,1,0,1,1,0,0.666666667,0.833333333333333,0.333333333333333
"165",165,"EI2_31EG","children",87.4,"M","explanation","old","['G', 'R', 'Y']",NA,"(4, 5, 6, 1, 2, 3)","[1, 1, 1, 2, 1, 2]","('Y', 'G', 'R', 'G', 'R', 'Y')","('Y', 'G', 'R', 'G', 'R', 'Y')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"166",166,"EI2_33AS","children",85.1,NA,"explanation","old","['R', 'Y', 'G']",NA,"(6, 2, 3, 1, 5, 4)","[1, 2, 2, 2, 2, 1]","('R', 'R', 'Y', 'G', 'G', 'Y')","('G', 'Y', 'Y', 'Y', 'R', 'R')",1,1,1,3,3,2,1,0,1,0,1,0,0,0,1,1,1,0,0.5,1,0.166666666666667
"167",167,"EI2_35CZ","children",73.8,"M","explanation","old","['R', 'G', 'Y']",NA,"(1, 6, 3, 5, 4, 2)","[2, 1, 1, 2, 2, 1]","('G', 'R', 'Y', 'G', 'Y', 'R')","('G', 'G', 'G', 'R', 'R', 'Y')",2,1,2,3,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0.166666667,0.916666666666667,0.166666666666667
"168",168,"EI2_36ED","children",73.7,"F","explanation","old","['G', 'Y', 'R']",NA,"(1, 5, 3, 4, 2, 6)","[1, 1, 2, 2, 1, 2]","('G', 'G', 'Y', 'Y', 'R', 'R')","('G', 'G', 'Y', 'G', 'R', 'Y')",2,3,1,2,2,1,1,1,1,0,1,1,1,1,1,0,1,1,0.833333333,0.416666666666667,0.666666666666667
"169",169,"EI2_39JM","children",73.8,"F","explanation","old","['Y', 'R', 'G']",NA,"(2, 3, 4, 1, 6, 5)","[2, 1, 1, 1, 1, 1]","('R', 'Y', 'Y', 'G', 'R', 'G')","('R', 'Y', 'G', 'Y', 'Y', 'R')",1,3,1,2,3,1,1,0,1,1,1,0,0,1,1,1,0,1,0.666666667,0.583333333333333,0.333333333333333
"170",170,"EI2_41CR","children",93.5,"F","explanation","old","['R', 'Y', 'G']",NA,"(6, 1, 3, 5, 4, 2)","[2, 1, 2, 1, 2, 2]","('R', 'G', 'Y', 'G', 'Y', 'R')","('G', 'Y', 'G', 'R', 'Y', 'Y')",1,1,2,1,3,2,0,1,0,0,1,0,0,0,0,1,0,1,0.333333333,1,0.166666666666667
"171",171,"EI2_42CH","children",78,"F","explanation","old","['G', 'R', 'Y']",NA,"(2, 5, 3, 4, 1, 6)","[1, 2, 2, 2, 1, 2]","('R', 'G', 'Y', 'Y', 'G', 'R')","('Y', 'G', 'G', 'Y', 'Y', 'G')",1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0.916666666666667,0.333333333333333
"172",172,"EI2_43DS","children",94,"F","explanation","old","['Y', 'G', 'R']",NA,"(4, 1, 2, 3, 6, 5)","[1, 1, 1, 1, 1, 2]","('Y', 'G', 'R', 'Y', 'R', 'G')","('Y', 'R', 'R', 'Y', 'R', 'G')",3,3,1,1,2,3,0,1,1,1,1,1,1,0,1,1,1,1,0.833333333,0.583333333333333,0.833333333333333
"173",173,"EI2_45OT","children",89.4,"F","explanation","old","['Y', 'G', 'R']",NA,"(3, 5, 6, 4, 2, 1)","[2, 1, 2, 1, 2, 2]","('Y', 'G', 'R', 'Y', 'R', 'G')","('Y', 'G', 'R', 'Y', 'R', 'G')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"174",174,"EI2_47ND","children",95,"M","explanation","old","['Y', 'R', 'G']",NA,"(4, 2, 1, 3, 6, 5)","[1, 2, 2, 2, 1, 2]","('Y', 'R', 'G', 'Y', 'R', 'G')","('Y', 'R', 'Y', 'G', 'G', 'R')",1,3,2,1,3,2,0,1,1,1,0,0,1,1,0,1,0,0,0.5,0.916666666666667,0.333333333333333
"175",175,"EI2_50HL","children",95.4,"F","explanation","old","['G', 'R', 'Y']",NA,"(1, 5, 2, 6, 4, 3)","[2, 2, 1, 1, 2, 1]","('G', 'G', 'R', 'R', 'Y', 'Y')","('G', 'R', 'Y', 'G', 'R', 'G')",2,1,2,3,3,2,1,1,0,0,0,0,1,0,1,0,0,0,0.333333333,0.916666666666667,0.166666666666667
"176",176,"EI2_51AM","children",75.1,"F","explanation","old","['G', 'Y', 'R']",NA,"(1, 2, 3, 6, 5, 4)","[2, 2, 2, 2, 1, 1]","('G', 'R', 'Y', 'R', 'G', 'Y')","('Y', 'R', 'Y', 'G', 'R', 'Y')",1,3,1,1,3,2,1,0,1,1,0,1,1,0,1,1,0,1,0.666666667,0.916666666666667,0.5
"177",177,"EI2_53JS","children",75.1,"M","explanation","old","['R', 'Y', 'G']",NA,"(5, 3, 1, 6, 4, 2)","[1, 2, 2, 2, 1, 2]","('G', 'Y', 'G', 'R', 'Y', 'R')","('G', 'Y', 'G', 'R', 'Y', 'G')",2,2,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.583333333333333,0.833333333333333
"178",178,"EI2_55AT","children",90.3,"F","explanation","old","['Y', 'G', 'R']",NA,"(6, 5, 4, 2, 1, 3)","[1, 1, 2, 2, 1, 2]","('R', 'G', 'Y', 'R', 'G', 'Y')","('Y', 'G', 'R', 'R', 'G', 'Y')",2,3,1,3,2,1,0,1,1,0,1,1,1,1,0,1,0,1,0.666666667,0.583333333333333,0.666666666666667
"179",179,"EI2_57ZF","children",92.4,"F","explanation","old","['G', 'Y', 'R']",NA,"(2, 6, 4, 3, 1, 5)","[2, 2, 1, 2, 1, 1]","('R', 'R', 'Y', 'Y', 'G', 'G')","('Y', 'G', 'G', 'R', 'Y', 'R')",1,1,3,2,3,2,0,1,1,0,1,0,1,0,0,1,0,1,0.5,0.666666666666667,0
"180",180,"EI2_59MM","children",89.8,"F","explanation","old","['R', 'Y', 'G']",NA,"(3, 1, 4, 2, 5, 6)","[1, 2, 1, 2, 1, 2]","('Y', 'G', 'Y', 'R', 'G', 'R')","('Y', 'G', 'Y', 'R', 'G', 'R')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"181",181,"EI2_61VW","children",79.3,"M","explanation","old","['R', 'Y', 'G']",NA,"(4, 5, 6, 3, 1, 2)","[2, 1, 1, 2, 2, 2]","('Y', 'G', 'R', 'Y', 'G', 'R')","('G', 'Y', 'G', 'G', 'Y', 'Y')",1,1,2,2,1,2,1,1,0,0,0,1,0,0,1,0,1,1,0.5,0.666666666666667,0
"182",182,"EI2_63IJH","children",76.5,"M","explanation","old","['Y', 'G', 'R']",NA,"(2, 3, 1, 6, 5, 4)","[1, 1, 2, 2, 2, 1]","('R', 'Y', 'G', 'R', 'G', 'Y')","('Y', 'Y', 'G', 'G', 'G', 'Y')",2,1,1,1,2,2,1,1,0,1,1,1,1,0,1,1,1,1,0.833333333,0.833333333333333,0.666666666666667
